Age,Accessibility,EdLevel,Employment,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
<35,No,Master,1,Man,No,Dev,7,4,Sweden,51552,C++;Python;Git;PostgreSQL,4,0
<35,No,Undergraduate,1,Man,No,Dev,12,5,Spain,46482,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Git;Express;React.js;Vue.js;AWS;PostgreSQL,12,1
<35,No,Master,1,Man,No,Dev,15,6,Germany,77290,C;C++;Java;Perl;Ruby;Git;Ruby on Rails,7,0
<35,No,Undergraduate,1,Man,No,Dev,9,6,Canada,46135,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL;Git;jQuery;Laravel;Ruby on Rails;AWS;MySQL;PostgreSQL,13,0
>35,No,PhD,0,Man,No,NotDev,40,30,Singapore,160932,C++;Python,2,0
<35,No,Master,1,Man,No,Dev,9,2,France,38915,JavaScript;Python;Docker;Git;MySQL,5,0
>35,No,Master,1,Man,No,Dev,26,18,Germany,77831,C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript;Docker;Git;Kubernetes;Angular;Express;Spring;AWS;Heroku;DynamoDB;PostgreSQL,17,1
<35,No,Master,1,Man,No,NotDev,14,5,Switzerland,81319,C++;Python;Docker;Git,4,0
>35,No,Undergraduate,1,Man,No,Dev,39,21,United Kingdom of Great Britain and Northern Ireland,68507,Python;Git;PostgreSQL,3,0
>35,No,Master,1,Man,No,Dev,20,16,Russian Federation,37752,Delphi;Java;SQL;Docker;Git;PostgreSQL,6,0
<35,No,Undergraduate,1,Man,Yes,Dev,4,2,Israel,122580,Bash/Shell;Go;Java;Node.js;Python;Scala;SQL;Docker;Git;Kubernetes;Terraform;AWS;Google Cloud Platform;Microsoft Azure;DynamoDB;MongoDB;MySQL;PostgreSQL,18,1
<35,No,Undergraduate,1,Man,Yes,Dev,6,2,Turkey,11832,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;SQL;Git;Unity 3D;jQuery,13,1
<35,No,Master,1,Man,No,Dev,19,10,Germany,60535,C;C++;Java;Python;Git,5,0
<35,No,Undergraduate,1,Man,No,Dev,8,0,United States of America,103000,Assembly;C;Java;Kotlin;Rust;Docker;Git,7,0
<35,No,Master,1,Man,No,NotDev,6,3,France,25944,Bash/Shell;C#;C++;Python;Git,5,0
>35,No,Undergraduate,1,Man,Yes,Dev,22,15,Brazil,60480,C#;C++;JavaScript;PowerShell;SQL;TypeScript;Docker;Git;Kubernetes;ASP.NET Core ;React.js;Heroku;Microsoft Azure;Microsoft SQL Server;PostgreSQL;Redis,16,1
<35,No,Other,1,Man,Yes,Dev,7,1,Bulgaria,20556,C++;SQL;Git;MongoDB;MySQL,5,0
<35,No,Undergraduate,1,Man,No,Dev,12,6,Greece,25944,C#;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript;VBA;Docker;Kubernetes;Angular;ASP.NET;ASP.NET Core ;Express;Svelte;AWS;DigitalOcean;Microsoft Azure;Couchbase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,25,1
>35,No,Master,1,Man,Yes,Dev,34,12,United Kingdom of Great Britain and Northern Ireland,64630,Bash/Shell;HTML/CSS;Java;Python;SQL;TypeScript;Ansible;Git;Terraform;Yarn;React.js;Spring;MySQL;SQLite,14,1
>35,No,Master,1,Man,No,Dev,21,16,Italy,54049,C;C#;HTML/CSS;Java;JavaScript;PHP;SQL;Docker;Git;Angular;ASP.NET Core ;jQuery;Spring;Microsoft SQL Server;MySQL;Oracle;SQLite,17,1
<35,No,Other,1,Man,No,NotDev,5,3,Russian Federation,22644,Bash/Shell;HTML/CSS;JavaScript;Python;SQL;Docker;Git;Django;FastAPI;Vue.js;Heroku;Oracle,12,0
>35,Yes,Other,1,Man,Yes,Dev,25,10,Canada,71850,C#;VBA;Git;ASP.NET;Microsoft SQL Server;MySQL,6,0
>35,No,Master,1,Man,No,Dev,20,10,Spain,58373,Bash/Shell;JavaScript;Node.js;TypeScript;Terraform;AWS;DynamoDB,7,1
>35,No,Undergraduate,1,Man,No,Dev,24,18,United Kingdom of Great Britain and Northern Ireland,129266,HTML/CSS;JavaScript;SQL;TypeScript;Git;Express;Gatsby;React.js;AWS;Heroku;PostgreSQL;SQLite,12,0
<35,No,Master,1,Man,No,NotDev,10,2,Netherlands,25944,Bash/Shell;C;C++;Matlab;PowerShell;Python;Git,7,0
>35,No,Undergraduate,1,Man,No,Dev,25,15,United States of America,105000,HTML/CSS;JavaScript;PHP;Git;jQuery;React.js,6,0
<35,No,Undergraduate,1,Man,No,NotDev,12,8,Poland,45564,Bash/Shell;C#;Dart;Delphi;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;PowerShell;Python;SQL;Swift;TypeScript;Docker;Git;Unity 3D;Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Express;Flask;jQuery;Laravel;React.js;Spring;Vue.js;Google Cloud Platform;Microsoft Azure;Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,39,1
>35,No,PhD,1,Man,No,Dev,10,8,Canada,151263,HTML/CSS;Python;R;Docker;Git;Flask;AWS;DynamoDB,8,0
>35,No,Undergraduate,1,Man,No,NotDev,10,3,Sweden,40500,Bash/Shell;Java;JavaScript;PHP;Python;Ansible;Git;PostgreSQL,8,0
<35,No,Undergraduate,0,Man,No,Dev,12,7,Switzerland,43908,Assembly;C;C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Docker;Git;Yarn;ASP.NET;ASP.NET Core ;jQuery;React.js;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL;SQLite,24,1
<35,No,Master,1,Man,No,Dev,25,6,Hungary,42336,Dart;HTML/CSS;Java;JavaScript;Node.js;PowerShell;TypeScript;Docker;Git;Angular;Django;Express;jQuery;React.js;Vue.js;Google Cloud Platform;Firebase;MariaDB;MongoDB;MySQL;Oracle,21,1
>35,No,Other,1,Man,No,Dev,31,17,Canada,95295,C#;SQL;TypeScript;Docker;Kubernetes;ASP.NET Core ;AWS;Microsoft Azure;Elasticsearch;Microsoft SQL Server,10,1
<35,No,PhD,1,Man,No,Dev,18,1,United States of America,100000,Bash/Shell;C#;HTML/CSS;Julia;Matlab;Python;Git;Google Cloud Platform,8,0
>35,No,Undergraduate,1,Man,No,Dev,26,14,United Kingdom of Great Britain and Northern Ireland,61398,C#;Clojure;Go;JavaScript;Python;SQL;Git;jQuery;Microsoft Azure;Microsoft SQL Server,10,1
<35,No,NoHigherEd,1,Man,Yes,NotDev,20,10,Netherlands,108098,Bash/Shell;C#;JavaScript;Node.js;PowerShell;Python;TypeScript;Docker;Git;Kubernetes;Puppet;Terraform;Unity 3D;ASP.NET;ASP.NET Core ;jQuery;React.js,17,1
<35,No,Undergraduate,1,Man,No,Dev,10,4,Poland,27336,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript;Docker;Git;Terraform;Yarn;Laravel;React.js;AWS;DigitalOcean;Google Cloud Platform;Heroku;Firebase;MongoDB;MySQL;PostgreSQL;SQLite,21,1
<35,No,Master,1,Man,No,Dev,10,7,Sweden,5216,Scala;Git;Google Cloud Platform;MongoDB,4,0
<35,No,Master,0,Man,No,Dev,8,3,France,151337,Dart;JavaScript;Node.js;Docker;Git;Django;Vue.js;Google Cloud Platform;Firebase;PostgreSQL;SQLite,11,0
